ax,ay,az,gx,gy,gz
-5.62231,3.36381,5.68817,0.28911,0.71199,0.37265
-5.70853,3.45961,5.60914,0.27419,0.69214,0.3472
-7.18266,3.88233,5.48819,0.26926,0.6944,0.35373
-6.83299,4.23799,5.32054,0.26433,0.63645,0.31203
-6.82461,3.82964,5.30856,0.255,0.57676,0.25927
-6.52284,3.84401,5.24509,0.22836,0.50708,0.23209
-6.91801,3.82604,5.54926,0.23036,0.49828,0.22663
-6.70007,4.2811,5.15049,0.2221,0.4791,0.20717
-7.00783,4.43917,5.0008,0.19638,0.42487,0.18759
-7.21619,4.55054,5.04271,0.15188,0.34067,0.15575
-6.42584,3.98052,5.07026,0.11924,0.27952,0.12071
-6.91322,3.95298,5.28102,0.09633,0.24128,0.09819
-6.80545,4.00567,5.30377,0.08114,0.20877,0.08234
